incident nummer,Incident categorie,Beschrijving incident
1230890,2e lijns (Doorgezette incidenten),Aanschaf extra pacs-printer?
1230891,2e lijns (Doorgezette incidenten),wachtrij legen vd Ricoh Aficioh
1230893,Functioneel beheer,CS EPD/Werkblad secretaresse: diverse vragen
1230899,Functioneel beheer,Cs-ziscon: mutatie
1230900,2e lijns (Doorgezette incidenten),Outlook contactpersonen kwijt
1230902,Functioneel beheer,Cs-ziscon: account
1230904,2e lijns (Doorgezette incidenten),Olympus Nederland
1230905,Functioneel beheer,CS Agende: verrichting aan afspraakcode koppelen
1230907,Functioneel beheer,CS EPD: Contacten verwijderen
1230909,2e lijns (Doorgezette incidenten),wire solutions youtube werkt niet
1230914,Functioneel beheer,Cs-stamtabel: toevoegen instantie
1230915,3e lijns (Technische incidenten),Inbelvoorziening LCT overzetten
1230916,Functioneel beheer,Cs-ziscon/agenda: aanpassing
1230917,2e lijns (Doorgezette incidenten),Werken de usb-poorten aande zijkant van mijn scherm
1230918,2e lijns (Doorgezette incidenten),uw standaardprinter is gewijzigd. XENAPPH5-03
1230919,Functioneel beheer,Cs-dossier: verzoek
1230920,Hardware / Werkplekbeheer,Traagheid met opstraten (meer dan 10min)
1230921,2e lijns (Doorgezette incidenten),"CRM-ERP Scan PC staat in update, duurt lang"
1230924,2e lijns (Doorgezette incidenten),Outlook postbus toevoegen
1230928,2e lijns (Doorgezette incidenten),"Applicatie ""open lab""start niet: ""er is een fout opgetreden in agilent""."
1230929,2e lijns (Doorgezette incidenten),Beafort start slecht op (Welkomscherm blijft in beeld)
1230932,Functioneel beheer,Cs-domeinportaal: vraag
1230933,Hardware / Werkplekbeheer,17-07 PowerFuse PC geeft al vaker problemen
1230934,2e lijns (Doorgezette incidenten),Rogan icoon komt niet in beeld XENAPPH7-04
1230935,Functioneel beheer,verrichting toevoegen
1230937,Hardware / Werkplekbeheer,vakantiewerker
1230939,2e lijns (Doorgezette incidenten),"Outlook: algemene postbus ""servicegeneeskunde Amsterdam"" is verdwenen"
1230940,2e lijns (Doorgezette incidenten),Aeos PC geeft fout starten Ultimo
1230941,Functioneel beheer,Cs-dossier: contact verwijderen
1230943,2e lijns (Doorgezette incidenten),Rogan applicatie heeft hij nog steeds niet
1230944,Functioneel beheer,Cs-ziscon: rechten aanpassen
1230945,Hardware / Werkplekbeheer,"there are currently no logon service available, kan deze thin client ook niet pingen"
1230954,Functioneel beheer,vraag pat portaal
1230955,Hardware / Werkplekbeheer,TC geeft trust relationship error bij inloggen
1230956,Hardware / Werkplekbeheer,2 headsets -> gisteren aangesloten werken nog niet naar behoren
1230957,2e lijns (Doorgezette incidenten),token VCD
1230959,Hardware / Werkplekbeheer,Fin-ERP__is het programma iSpy kwijt
1230960,Hardware / Werkplekbeheer,Papier loopt alweer vast. Vrijdag is er ook na gekeken en kon niks vinden.
1230961,Hardware / Werkplekbeheer,In Wacht__Een snoer van een Laptop is stuk. (Besteld)
1230962,2e lijns (Doorgezette incidenten),Vraag over autorisatieformulier
1230963,2e lijns (Doorgezette incidenten),Vastgelopen in CS
1230964,2e lijns (Doorgezette incidenten),Doorverbonden met J. ten Tusscher
1230965,2e lijns (Doorgezette incidenten),dv DP
1230966,2e lijns (Doorgezette incidenten),Doorverbonden met R. Dekkers
1230968,2e lijns (Doorgezette incidenten),aanbieden Rogan View icoon
1230972,Hardware / Werkplekbeheer,Printer geeft melding over fusereenheid.
1230973,2e lijns (Doorgezette incidenten),"MF pas verloren, nieuwe pas activeren / registreren"
1230974,2e lijns (Doorgezette incidenten),scanner van Ricoh
1230975,Hardware / Werkplekbeheer,Vast toestel aansluiten
1230978,2e lijns (Doorgezette incidenten),Vraagt naar vakantie van R. Vlaskamp
1230979,2e lijns (Doorgezette incidenten),Vraagt of een token persoonsgebonden is.
1230981,2e lijns (Doorgezette incidenten),opnieuw opstarten?
1230982,Telefonie / Communicatie,Headset bij de röntgen is onduidelijk
1230988,Hardware / Werkplekbeheer,"SPOED~~17-06 crm: geen foto's, geen signaal"
1231008,2e lijns (Doorgezette incidenten),MF opdrachten blijven
1231010,2e lijns (Doorgezette incidenten),MF loopt vast bij het faxen
1231012,2e lijns (Doorgezette incidenten),Belt omdat iemand bezig is met de pc van afstand
1231013,2e lijns (Doorgezette incidenten),printervraag
1231014,Telefonie / Communicatie,Kan beller 3700 niet verstaan 09:44 uur
1231020,2e lijns (Doorgezette incidenten),D2 Scoringsprogramma start op maar blijft blauwe velden weergeven XENAPPH14-04
1231021,Hardware / Werkplekbeheer,"acquisitie-B: gebruiker heeft computer opnieuw gestart, maar weet niet hoe zij nu verder moet."
1231022,Functioneel beheer,tweelingkamer extra regel erbij voor moeder
1231023,Functioneel beheer,CS Opname: opnameperiode wijzigen
1231024,Hardware / Werkplekbeheer,In Wacht__Diensttelefoon E71 synchroniseert niet en heeft ook andere problemen.
1231025,2e lijns (Doorgezette incidenten),broekzaktelefoontje
1231026,2e lijns (Doorgezette incidenten),Vraagt naar R. Vlaskamp
1231027,2e lijns (Doorgezette incidenten),Doorverbonden met BJ Beekman
1231028,2e lijns (Doorgezette incidenten),handset 5483
1231029,Functioneel beheer,Cs-ziscon: toevoegen accounts
1231032,Hardware / Werkplekbeheer,"Alle LaptopS op de B0 kunnen geen mediae beelden vertonen: ""page can not be displayed"""
1231034,Telefonie / Communicatie,Accu van handset 4093 is zeer snel leeg
1231035,2e lijns (Doorgezette incidenten),Accu van handset 5255 is zeer snel leeg
1231036,Functioneel beheer,subagenda vloedbeld in NEFRO_VASCULAIR A
1231037,2e lijns (Doorgezette incidenten),BR: je kijkt nog steeds mee kan ze al verder?
1231038,2e lijns (Doorgezette incidenten),Ultimo Starten Vande Evemnt manager
1231039,2e lijns (Doorgezette incidenten),Doorverbonden met BJ Beekman
1231040,2e lijns (Doorgezette incidenten),inlogprobleem: trusted repationship
1231041,2e lijns (Doorgezette incidenten),"Wil nieuwe, grotere telefoon"
1231044,2e lijns (Doorgezette incidenten),safewordcode
1231045,Functioneel beheer,Cs-
1231047,2e lijns (Doorgezette incidenten),Wordvraag arcering uitzetten
1231069,2e lijns (Doorgezette incidenten),"Nieuwe KA: bij raadplegen websites worden pagina's niet onthouden,"
1231070,2e lijns (Doorgezette incidenten),Controlekamer5 melding scherm
1231072,Hardware / Werkplekbeheer,Inbouwpc rechts op Controlekamer5 doet niets meer
1231073,2e lijns (Doorgezette incidenten),Nieuwe KA: ondanks rechten op SG_Appl_MS_Visio komt applicatie niet in beeld in de nieuwe KA
1231074,2e lijns (Doorgezette incidenten),dv MH
1231075,2e lijns (Doorgezette incidenten),"CS/CRM-ERP: ""not enough storage""."
1231077,2e lijns (Doorgezette incidenten),dv RH
1231078,Functioneel beheer,CS Ambulant: factuur aan derden
1231081,2e lijns (Doorgezette incidenten),KPN Meten van ADSL Verbinding
1231084,2e lijns (Doorgezette incidenten),status?
1231085,2e lijns (Doorgezette incidenten),Vraagt naar R. Huuskes
1231091,2e lijns (Doorgezette incidenten),graag terugbelactie
1231095,2e lijns (Doorgezette incidenten),"Kan Astraia niet starten. Krijgt melding: ""dit programma is ongelicentieerd""."
1231109,3e lijns (Technische incidenten),Verzoek tot update Astraia van versie 1.21->1.22. Verzotgd door d leverancier zelf (Sorgsaem)
1231112,Functioneel beheer,CS Ziscon: artsen kunnen niet plannen in agenda buiten spreekuur
1231113,2e lijns (Doorgezette incidenten),kan niet meer inloggen
1231118,Hardware / Werkplekbeheer,SPOED: mobile thin client kan niet inloggen
1231119,2e lijns (Doorgezette incidenten),wire solutions gebruik telefonie
1231121,2e lijns (Doorgezette incidenten),ISRA-punt telefooncentrale openen
1231123,2e lijns (Doorgezette incidenten),tokencode
1231125,2e lijns (Doorgezette incidenten),dv met BJ Beekman
1231126,2e lijns (Doorgezette incidenten),nieuwe KA: radiologie webinzage foto's bekijken
1231127,2e lijns (Doorgezette incidenten),PC locked zichzelf na bepaalde tijd en kan dan alleen unlocked worden door degene die is ingelogd.
1231128,2e lijns (Doorgezette incidenten),dv JTT
1231129,2e lijns (Doorgezette incidenten),Toner vervangen.
1231131,2e lijns (Doorgezette incidenten),safewordcode
1231132,2e lijns (Doorgezette incidenten),vraagt naar BJB
1231133,2e lijns (Doorgezette incidenten),I Spy
1231134,2e lijns (Doorgezette incidenten),Vraagt naar status bonnr.: 01230375
1231136,Hardware / Werkplekbeheer,Collega komt muis ruilen
1231138,2e lijns (Doorgezette incidenten),Rogan View Pro subscriber starten gaat niet goed
1231139,Hardware / Werkplekbeheer,Fin-ERP: updates van de firma Roche kunnen niet meer worden opgehaald (cobas-link)
1231141,2e lijns (Doorgezette incidenten),schermresolutie wijzigingen?
1231148,Hardware / Werkplekbeheer,"er wordt brandlucht gerControlekameren, svp onsite kijken ondanks dat er geen inv. nr op pc staat"
1231149,2e lijns (Doorgezette incidenten),Doorverbonden met HC Muns
1231151,2e lijns (Doorgezette incidenten),Outlook extra postbus verdwenen n vastloper
1231156,2e lijns (Doorgezette incidenten),NIEUWE KA: heeft weer piepjes was vorige week ook al aangepast
1231157,2e lijns (Doorgezette incidenten),rechten op applicatie?
1231158,Hardware / Werkplekbeheer,Verhuissing van een computer
1231159,Hardware / Werkplekbeheer,WINKELS__wire solutions: scherm gaat niet meer aan  	3Zuid 359 b4
1231160,2e lijns (Doorgezette incidenten),Geeft aan dat zij heel lang moet wachten voordat er geprint wordt
1231163,2e lijns (Doorgezette incidenten),CS sluit af wanneer er 2 dosierz zijn geopened
1231166,Functioneel beheer,Cs-stamtabel:
1231167,2e lijns (Doorgezette incidenten),dv DH
1231168,2e lijns (Doorgezette incidenten),Geen printers beschikbaar op XenappH13-04
1231172,Functioneel beheer,Cs-ziscon: aanpassen rechten Drop
1231173,Hardware / Werkplekbeheer,WS moet  op de beamer worden aangesloten.
1231175,Hardware / Werkplekbeheer,"Monitorarmen besteld door Geert, zijn binnen maar moeten nog bevestigd worden."
1231176,Functioneel beheer,Cs-ziscon: toevoegen rechten
1231180,Functioneel beheer,overzicht verr code
1231181,2e lijns (Doorgezette incidenten),Werkt nu in Amsterdam maar kan niet op haar H-schijf/J-schijf
1231183,Functioneel beheer,Cs-ziscon: toevoegen portretten co's
1231184,Functioneel beheer,huisarts Blom ontvangt geen geen berichten
1231185,Hardware / Werkplekbeheer,Patchen ASAP
1231186,Telefonie / Communicatie,aanvraag 1 handset _ diverse gebruikers cardiologie
1231188,Hardware / Werkplekbeheer,Patchen camera SEH Amsterdam
1231190,2e lijns (Doorgezette incidenten),infoland servicedesk vraagt om tokencode
1231192,Hardware / Werkplekbeheer,beide pc's doen het niet meer na verhuissing vaste telefoon -> 1 tc gaat niet meer aan
1231194,2e lijns (Doorgezette incidenten),Outlook: heeft collega's gemamachtigd voor postval maar deze kunnen de map niet zien.
1231205,Hardware / Werkplekbeheer,MF onderdeel ligt los
1231206,Hardware / Werkplekbeheer,wire solutions toetsenbord reageert niet mevrouw Gering kan geen rekeningnummer intoetsen
1231211,Functioneel beheer,CS Agenda: diverse aanpassingen
1231217,Functioneel beheer,Cs-ziscon: toevoegen nieuwe accounts
1231218,2e lijns (Doorgezette incidenten),Anesthesie toestel geeft geen netwerk verbinding
1231219,2e lijns (Doorgezette incidenten),"Ziet niet alle programma's, komt in vreemde desktop."
1231220,2e lijns (Doorgezette incidenten),Geen netwerk
1231223,Hardware / Werkplekbeheer,"Kan niet inloggen: ""there are no logon servers available"""
1231224,Hardware / Werkplekbeheer,beeld valt af en toe uit
1231225,2e lijns (Doorgezette incidenten),Outlook handtekening
1231226,2e lijns (Doorgezette incidenten),tokencode
1231227,Hardware / Werkplekbeheer,Laptop__Cannot to the Citrix Presentation Server
1231229,Hardware / Werkplekbeheer,Laptop wil niet inloggen
1231231,2e lijns (Doorgezette incidenten),Doorverbonden met M. Calkhuissen
1231233,2e lijns (Doorgezette incidenten),"Outlook: veld ""van"" ontbreekt in kolom"
1231235,2e lijns (Doorgezette incidenten),Outlook handtekening wijzigen
1231237,2e lijns (Doorgezette incidenten),Astraia geen licentie aanwezig
1231238,2e lijns (Doorgezette incidenten),Toner van MF is op
1231241,2e lijns (Doorgezette incidenten),tokencode
1231243,2e lijns (Doorgezette incidenten),Vragen naar Michiel de Haan
1231245,2e lijns (Doorgezette incidenten),dv JW
1231249,Hardware / Werkplekbeheer,Fin-ERP: glucosemeter maakt geen verbinding
1231251,2e lijns (Doorgezette incidenten),nieuwe KA account currently locked out
1231256,Hardware / Werkplekbeheer,MF__kopieer functie werkt niet
1231259,Hardware / Werkplekbeheer,mf papier zit vast in de la
1231262,2e lijns (Doorgezette incidenten),Astraia kan niet gestart worden: meldingen over licentie
1231264,2e lijns (Doorgezette incidenten),Nieuwe KA: change user -> typt eigen gegevens -> welcome -> daarna melding 'you are about to be logged off'
1231265,2e lijns (Doorgezette incidenten),cannot connect to citrix
1231267,Functioneel beheer,CS Ziscon: Wachtwoord vergeten
1231270,2e lijns (Doorgezette incidenten),Outlook: handtekening kwijt
1231273,2e lijns (Doorgezette incidenten),cannot connect to citrix presentation Server
1231274,2e lijns (Doorgezette incidenten),"Kan niet inloggen: ""can not connect to the xenapp server""."
1231281,2e lijns (Doorgezette incidenten),wire solutions__opgenomen zonder locatie
1231283,2e lijns (Doorgezette incidenten),Zwart beeld bij ambulance pc
1231284,2e lijns (Doorgezette incidenten),Nieuwe KA: change user -> typt eigen gegevens -> welcome -> daarna melding 'you are about to be logged off'
1231285,Hardware / Werkplekbeheer,Cannot connect to the Citrix Presentation Server
1231294,Functioneel beheer,CS Opname: Opname wijzigen
1231300,2e lijns (Doorgezette incidenten),dv 3e lijner
1231302,2e lijns (Doorgezette incidenten),Nieuwe KA__landinstelling / CTRL SHIFT staat nog aan.
1231304,2e lijns (Doorgezette incidenten),cannot connect to citrix
1231305,2e lijns (Doorgezette incidenten),Nieuwe KA: ms-projects is niet beschikbaar in de nieuwe KA
1231307,Functioneel beheer,My Ultimo
1231309,2e lijns (Doorgezette incidenten),wire solutions__kan rekeningnummer niet invullen
1231310,Functioneel beheer,Hunite: wachtwoord
1231312,2e lijns (Doorgezette incidenten),dv RH
1231313,3e lijns (Technische incidenten),Graag Postvak vergroten
1231317,2e lijns (Doorgezette incidenten),vraag over glinstering van toetsenbord
1231319,2e lijns (Doorgezette incidenten),Activaregistratie
1231321,2e lijns (Doorgezette incidenten),vraag over word
1231324,2e lijns (Doorgezette incidenten),Scherm geeft te grote letters
1231330,2e lijns (Doorgezette incidenten),wire solutions
1231331,2e lijns (Doorgezette incidenten),Nieuwe KA: gebruikers kunnen nu niet meer  2 keer inloggen op verschillende computers.
1231332,Functioneel beheer,CS Document: document verdwenen
1231335,Functioneel beheer,"iTask, rapportages tbv RvB"
1231337,Functioneel beheer,CS Opname: opnametype wijzigen
1231338,2e lijns (Doorgezette incidenten),tokencode
1231340,2e lijns (Doorgezette incidenten),"Camera-pc geeft melding: ""MX control center out of memory""."
1231341,Functioneel beheer,e-verwijzen: verwijzing verwijderen
1231346,Hardware / Werkplekbeheer,wire solutions: kan geen rekeningnr. invoeren het toetsenbord reageert niet 5Zuid k559 b3
1231347,Hardware / Werkplekbeheer,Printer geeft vlek bij afdrukken.
1231349,2e lijns (Doorgezette incidenten),Fin-ERP__vraagt naar status melding 01231139
1231350,2e lijns (Doorgezette incidenten),Monaco icoon in nieuwe KA?
1231355,2e lijns (Doorgezette incidenten),"Glims - applicatie wordt gestart, daarna vastloper"
1231360,2e lijns (Doorgezette incidenten),cannot connect to citrix
1231363,2e lijns (Doorgezette incidenten),"CS__vastloper, afspraken zonder DBZ uitdraaien"
1231364,Functioneel beheer,Cs-stamtabel: inlezen vektis huisartsen
1231366,2e lijns (Doorgezette incidenten),telewerken: gebruikersnaam of ww onjuist
1231367,Functioneel beheer,Cs-stamtabel: aanpassen adres
1231368,2e lijns (Doorgezette incidenten),Site wordt geblControlekamerkeerd door firewall: http://bb.vu.nl
1231369,2e lijns (Doorgezette incidenten),test
1231370,Functioneel beheer,Cs-stamtabel: toevoegen extspec
1231371,2e lijns (Doorgezette incidenten),tokencode
1231372,2e lijns (Doorgezette incidenten),tokencode
1231373,Hardware / Werkplekbeheer,cannot connect to citrix
1231374,2e lijns (Doorgezette incidenten),safewordcode
1231375,2e lijns (Doorgezette incidenten),CS__cursor verspringt binnen ChipSoft
1231379,Hardware / Werkplekbeheer,18-07-13__Penta start op maar reageert daarna niet goed.
